Rank	Team	Nationality	Time
1	6 keys	US	1:19:16
2	CKCOS	TW	1:33:42
3	KAMT	JP	1:35:11
4	Escapinality	US	1:39:58
5	United Discord	US	1:44:39
6	yup it is a real team	US	1:45:49
7	RIDDLER SUKIYAKI	JP	1:48:26
8	FAR EAST SOLVERS	JP	1:50:43
9	KKDOS_UNKO	JP	1:50:48
10	TEAM MAY	JP	1:51:16
11	Great Cat Saurus	JP	1:55:47
12	Mel Force One	PL	1:58:26
13	RIDDLER_SUSHI	JP	1:59:44
14	Locurio	US	2:00:04
15	La Compagnie Keyhole	CA	2:00:52
16	GC NOVA	JP	2:01:04
17	Koalas Mauves / Codex / Patatentacule	CA	2:02:07
18	FOXJAPAN	JP	2:05:10
19	Merkantylizm	PL	2:06:40
20	Apocalypse3K	PL	2:10:05
21	JELENIE W TERENIE	PL	2:10:07
22	Hydra	JP	2:10:25
23	Dopimino	PL	2:10:35
24	peeposad	PL	2:11:23
25	Join Our Guild	JP	2:12:05
26	Les Boulets	FR	2:12:11
27	Die Freunde der Nullflaschen	DE	2:13:35
28	TtOAS x Midnight Quests	GB	2:13:55
29	Pokojowo Nastawieni	PL	2:15:58
30	Galijuduno	RW	2:18:15
31	Shungyo	JP	2:19:02
32	Team Squared	GB	2:20:11
33	Escaping the Closet	GB	2:20:36
34	Missing: escape team	IT	2:21:46
35	Team Prospect	US	2:22:38
36	Ewarsaw Eagles	PL	2:23:13
37	Honte	PL	2:23:39
38	SPIRIT BEASTS	JP	2:24:43
39	White Maria	SG	2:25:42
40	CoToZaRoznica	PL	2:26:21
41	4 koty	PL	2:26:38
42	Hercules	JP	2:27:25
43	Poptartpuzzles	US	2:28:59
44	Dzikie Koty	PL	2:29:01
45	Hardnuts_rikei	JP	2:29:43
46	Cuties	US	2:29:53
47	Zagadkowcy	PL	2:36:06
48	C-lock-row	JP	2:39:05
49	LyonBreak	FR	2:39:24
50	PierroGang	PM	2:39:29
51	esca[pi]ng	US	2:40:50
52	Biedni Studenci	PL	2:42:33
53	Les Wyrds	FR	2:42:40
54	Team Paul's Clever Name	US	2:48:10
55	Comment est votre blanquette	FR	2:50:58
56	Alkohol Zegz Ssagatki	PL	2:53:42
57	Perlatorzy	PL	2:53:54
58	Uciekinierzy z San Escobar	PL	2:54:13
59	TFMLS	PL	2:54:35
60	x'; UPDATE results SET win = 1 WHERE name = 'x'; SELECT '	PL	2:57:35
61	Waiting For a Naptime	PL	2:57:53
62	Poziomki i Elo	PL	3:02:47
63	Agata wymyśl fajną nazwę teamu, żeby nie było jak ostatnio	PL	3:04:19
64	Flegmatyczne Foki	PL	3:05:44
65	In vest igators	PL	3:05:58
66	Yakisoba	JP	3:06:03
67	Zmęczeni życiem	PL	3:07:02
68	Seyssin8	FR	3:10:04
69	Le Rond Point	FR	3:10:07
70	nadzwyczajne każuale	PL	3:12:49
71	チーム	JP	3:12:56
72	We will see who joins	SK	3:14:49
73	JoBoTS	US	3:16:34
74	Alohomora!	PL	3:17:17
75	DrinkTeam	PL	3:17:34
76	Najgorzej	PL	3:19:19
77	TEAMLOST	PL	3:19:34
78	Drużyna suchara	PL	3:21:20
79	K-dush2 MOKA	JP	3:26:22
80	限界	JP	3:30:14
81	HecticPuzzlers	FR	3:31:33
82	A Rat with Feet	GB	3:33:09
83	Króliczki Łukaszka	PL	3:35:13
84	Escape Rumours	US	3:35:19
85	Munsterowo	PL	3:40:23
86	Nazwa Teamu	CH	3:45:40
87	The Ropers	PL	3:45:57
88	SHIBUMAC	JP	3:45:57
89	Les foufous d'énigmes	FR	3:46:02
90	General beginner's	JP	3:49:44
91	IQ Team	PL	3:50:14
92	Czochracze	PL	3:51:30
93	Zespół PLEH	PL	3:51:52
94	Pszemki	PL	3:57:03
95	Hello are you hungry	TW	3:58:58
