Rank	Team	Nationality	Time
1	CKCOS	TW	1:14:02
2	Czochracze	PL	1:20:37
3	Koalas Mauves / Codex / Patatentacule	CA	1:21:54
4	peeposad	PL	1:23:10
5	GTA: Hummus Stories	PL	1:23:50
6	United Discord	US	1:24:02
7	Locurio	US	1:25:16
8	Śmieszki	PL	1:28:16
9	#fitgeeks	PL	1:29:37
10	Dawaj Michał bo autobus nam ucieknie	PL	1:30:11
11	RIDDLER SUKIYAKI	JP	1:30:56
12	Zmęczeni życiem	PL	1:32:12
13	Zespół PLEH	PL	1:32:31
14	RIDDLER_SUSHI	JP	1:32:42
15	Dzikie Koty	PL	1:32:59
16	Pandasonic	PL	1:33:31
17	Mel Force One	PL	1:36:51
18	Zagadkowcy	PL	1:37:00
19	Na pewno nie pierożki	PL	1:42:30
20	KNC	JP	1:42:37
21	Easter Team	PL	1:42:43
22	Flegmatyczne Foki	PL	1:42:55
23	NieMaCzasu	PL	1:44:41
24	4 koty	PL	1:45:13
25	Paszenogi	PL	1:46:14
26	Ewarsaw Eagles	PL	1:46:57
27	Daleko jeszcze?	PL	1:47:13
28	Króliczki Łukaszka	PL	1:49:39
29	Jazda bez trzymanki	PL	1:49:52
30	Shungyo	JP	1:49:57
31	Un Trésor à Paris	FR	1:50:10
32	<mam nadzieję, że można to zmienić później>	PL	1:50:29
33	Les Boulets	FR	1:51:02
34	TtOAS x The Pyramid	GB	1:51:02
35	Hydra	JP	1:51:36
36	Delta Szwadron Super Cool Komando Wilków Alfa	PL	1:52:27
37	Perlatorzy	PL	1:52:29
38	HMOCH	PL	1:52:40
39	Attack on SABA	JP	1:52:48
40	Nazwa Teamu	CH	1:53:39
41	Szalone Trapery	PL	1:54:35
42	Uciekinierzy z San Escobar	PL	1:54:46
43	Pampasowiec Team	PL	1:55:00
44	KAMT	JP	1:55:12
45	SOYMA	PL	1:55:51
46	Otterpuss	US	1:56:32
47	Ta sama co zawsze	PL	1:57:25
48	Gganbu	PL	1:58:06
49	KKDOS	JP	1:58:10
50	Dopimino	PL	1:58:35
51	Les chiens de Legut	PL	1:58:37
52	DrinkTeam	PL	1:58:51
53	Orka Przymierza	PL	1:59:30
54	GC NOVA	JP	2:00:04
55	Łódzki Klub Uciekinierów	PL	2:00:12
56	[ESC]-iści	PL	2:01:57
57	EscapeTheReality	PL	2:02:07
58	x'; UPDATE results SET win = 1 WHERE name = 'x'; SELECT '	PL	2:02:36
59	Truskaweczki	PL	2:02:59
60	Poparzeni Chłodnikiem	PL	2:03:19
61	DemonCrew	PL	2:03:42
62	Escape Rumours	US	2:04:15
63	BanderozaMasters	PL	2:05:10
64	Black Freaks	PL	2:05:54
65	JAMM	PL	2:05:58
66	Nagrzani	PL	2:06:52
67	Point Luna	PL	2:07:43
68	Poziomki i Elo	PL	2:08:34
69	Latający Cyrk na Kółkach	PL	2:08:51
70	Team żmija i Jątwy (w natarciu)	PL	2:08:56
71	Krwiożercze marszpikle	PL	2:10:30
72	Apocalypse3K	PL	2:11:07
73	Hentai Rangers	PL	2:12:11
74	PopłaczSięTamTypie	PL	2:12:56
75	Ale Bajer Latam z Młotkiem	PL	2:13:14
76	Some Funny Team Name	PL	2:14:12
77	PROrokujący uciekinierzy	PL	2:15:07
78	Waiting For a Naptime	PL	2:15:53
79	Koneserzy Popcornu	PL	2:17:10
80	Tumbleweed	JP	2:17:25
81	The Last Stand	PL	2:17:44
82	TOZANKA	JP	2:18:47
83	Kalashnikov	PL	2:18:54
84	Alohomora!	PL	2:18:59
85	Great Cat Saurus	JP	2:19:44
86	3,50 <trzy pięćdziesiąt>	PL	2:19:56
87	SPIRIT BEASTS	JP	2:20:26
88	zŁodzieje	PL	2:21:36
89	Prawowici Mistrzowie 2k19	PL	2:22:04
90	Option A	PL	2:22:17
91	Maniuszki	PL	2:22:57
92	Amatorzy	PL	2:23:02
93	TVINKI	PL	2:23:19
94	Team Squared	GB	2:23:57
95	Do pierwszego oporu	PL	2:24:00
96	Fuzjoners	PL	2:24:00
97	A ja się pytam gdzie są drzwi	PL	2:24:31
98	K-dush2 MOKA	JP	2:25:09
99	ZagrajmySobie	PL	2:25:25
100	FOXJAPAN	JP	2:25:30
101	SheepyShip	PL	2:26:01
102	PowER TEAM	PL	2:26:17
103	AlphaZero	PL	2:26:20
104	MessHallCons	US	2:26:31
105	Nie rozkazuj mi	PL	2:28:16
106	Kapcie 1.0	PL	2:29:33
107	Zespół eR	PL	2:29:34
108	Tebasaki	JP	2:29:58
109	Cebuliony Drużyna Badziąga	PL	2:30:15
110	Piękne umysły	PL	2:30:19
111	PepsialkoweLove	PL	2:30:26
112	FAR EAST SOLVERS	JP	2:30:27
113	F13	PL	2:31:14
114	Agata wymyśl fajną nazwę teamu, żeby nie było przypału jak r	CX	2:31:22
115	deculoabocasaurio	PL	2:33:18
116	Zwykli wyrobnicy	PL	2:35:01
117	Jestem za głupi żeby to przeczytać	PL	2:35:23
118	Rahmen the Great	JP	2:36:35
119	Arrrrrrrrwrwrrrrrrrrrrrgrrrrrrrrraawrrrrrrrrrrrrrwrrwrrwrrrr	PL	2:36:54
120	twoja_matka	PL	2:37:12
121	Prorok Żeremiasz i Jego Dzielne Bobry	PL	2:38:12
122	Gracious Snakes	PL	2:38:21
123	BAD Bubisowa Agnecja Detektywistyczna	PL	2:40:51
124	Żółwie ninja	PL	2:41:15
125	Poukładany Stos	PL	2:41:47
126	Najgorzej	PL	2:42:19
127	Waleczne Kotlety	PL	2:42:31
128	ESCAPEFISHers	US	2:42:36
129	3PG	PL	2:43:01
130	Niezdecydowani	PL	2:43:25
131	dinkozaury	PL	2:43:35
132	Zamulasy	PL	2:44:08
133	Miękko mięcej najmięcej	PL	2:44:09
134	Piwo to moje paliwo	PL	2:44:18
135	Harry & Co	DE	2:44:53
136	LOGON	JP	2:45:48
137	Kurczaki ziemniaki	PL	2:45:52
138	Internal Server Error	PL	2:45:52
139	Octopus	PL	2:46:19
140	KŁIS	PL	2:46:46
141	Trutnie	PL	2:46:53
142	Joszek kokoszek	PL	2:46:54
143	Cat Outside the Box	PL	2:47:22
144	Rycerze Goudy	PL	2:47:44
145	Kabanosy	PL	2:48:52
146	Bring Your Own Keys	PL	2:49:09
147	QRER	PL	2:49:39
148	Pasqdni	PL	2:50:47
149	Vaneheim	PL	2:50:48
150	DROP Database;	PL	2:50:52
151	Pommes Frites	PL	2:52:44
152	Drużyna Wesołego Fura	PL	2:53:11
153	Have you guys rolled pasta lately?	JP	2:53:55
154	Pandy w Kwiatki	PL	2:54:10
155	Taktyczny Odwrót	PL	2:54:13
