Rank	Team	Nationality	Time
1	6 Keys	🇺🇸	1:26:05
2	✅	🇺🇸	1:47:59
3	RIDDLER SUKIYAKI	🇯🇵	1:57:27
4	DRYADES	🇯🇵	1:57:53
5	FAR EAST SOLVERS	🇯🇵	1:58:28
6	Bikkuri Donkey Bananza	🇯🇵	2:08:30
7	Les Wyrds	🇫🇷	2:11:58
8	CKCOS	🇹🇼	2:12:02
9	KNC	🇯🇵	2:14:48
10	Comment est votre blanquette	🇫🇷	2:15:28
11	Dwa Gżdacze	🇵🇱	2:15:28
12	Les Bidons Futés	🇫🇷	2:16:50
13	AeraDev	🇹🇭	2:17:27
14	Spilt Milk	🇬🇧	2:20:24
15	Zaviours of Malton Canes	🇬🇧	2:20:35
16	T21	🇫🇷	2:20:36
17	Escapinality	🇺🇸	2:21:25
18	Dawaj Michał bo autobus nam ucieknie	🇵🇱	2:21:42
19	Dziękuj Krystianowi, że do drużyny Cię przyjął	🇵🇱	2:22:21
20	Missing: escape team	🇮🇹	2:23:34
21	特级山芋	🇨🇳	2:24:20
22	Bez Pomysłu	🇵🇱	2:24:41
23	JIYUUJIN	🇯🇵	2:25:13
24	Keep Escaping	🇧🇪	2:25:17
25	peeposad	🇵🇱	2:25:49
26	RIDDLER_SUSHI	🇯🇵	2:26:03
27	Duże Gumowe Pterodaktyle	🇵🇱	2:26:59
28	4696	🇯🇵	2:27:32
29	Team Black Rose	🇨🇭	2:28:15
30	8 balls	🇯🇵	2:29:21
31	TEAM MAY	🇯🇵	2:29:56
32	chungusPound	🇺🇸	2:30:07
33	Cuties	🇺🇸	2:31:07
34	Try Hard	🇬🇧	2:31:34
35	Cannonball	🇯🇵	2:32:34
36	C-lock-row	🇯🇵	2:33:50
37	Locurio	🇺🇸	2:35:02
38	CoTomekZaRoznica	🇵🇱	2:35:07
39	Join Our Guild	🇯🇵	2:37:09
40	United Discord	🇺🇸	2:37:35
41	DefinietlyDisabledDevelopers	🇵🇱	2:38:09
42	Keymasters	🇸🇮	2:38:49
43	RISOTTO	🇯🇵	2:39:34
44	ゆかいな仲間たち	🇯🇵	2:39:50
45	Pharmeleon	🇯🇵	2:40:15
46	Cukierki i Stokrotki	🇵🇱	2:43:14
47	Merkantylizm	🇵🇱	2:44:19
48	Jeżyny	🇵🇱	2:44:27
49	LiMiTeD	🇯🇵	2:45:57
50	Pikmin	🇯🇵	2:46:48
51	TODO: チーム名決める	🇯🇵	2:46:56
52	Hercules	🇯🇵	2:46:57
53	Shungyo	🇯🇵	2:47:24
54	La Compagnie Keyhole	🇨🇦	2:48:19
55	Escape Szpajtal	🇵🇱	2:48:53
56	Poziomki i Elo	🇵🇱	2:48:59
57	Telomerase	🇺🇸	2:49:37
58	Team Paul's Clever Name	🇺🇸	2:50:02
59	マジで全員ENTJです！！！！相性いい人いいね	🇯🇵	2:50:45
60	Nimouillargilles	🇫🇷	2:51:51
61	PRUBASERA	🇵🇱	2:52:25
62	Los Kotitos	🇨🇭	2:52:36
63	PALS	🇬🇧	2:52:39
64	The Hamdoodles	🇮🇱	2:54:05
65	CALM	🇯🇵	2:54:29
66	Fury	🇧🇬	2:55:16
67	IOI3	🇵🇱	2:55:28
68	ROROROID	🇯🇵	2:55:34
69	Hydra	🇯🇵	2:56:01
70	EZIGMA	🇮🇹	2:57:45
71	Les Manas	🇫🇷	2:57:57
72	ROLASAKUHINAICHI	🇯🇵	2:58:26
73	Team Bwainerz	🇺🇸	2:59:04
74	kanto-kyopro-board-game	🇯🇵	2:59:13
75	Pandy w Kwiatki	🇵🇱	2:59:56
76	Panda Express	🇵🇱	3:02:37
77	Yakisoba	🇯🇵	3:03:22
78	Perlatorzy	🇵🇱	3:03:35
79	SHORT	🇯🇵	3:05:30
80	FcDrużyna	🇵🇱	3:06:26
81	Die Freunde der Nullflaschen	🇩🇪	3:06:28
82	E+R+M²	🇵🇱	3:07:09
83	origami escape	🇺🇸	3:09:54
84	Die is Cast	🇯🇵	3:10:28
85	Endure	🇺🇸	3:10:40
86	Burgis	🇦🇹	3:11:45
87	Nous sommes Legion	🇫🇷	3:11:50
88	Cygnets	🇫🇷	3:12:12
89	J3K	🇯🇵	3:12:29
90	五菱宏光 Wuling Hongguang	🇨🇳	3:13:34
91	FOXJAPAN	🇯🇵	3:14:28
92	F-enigma	🇯🇵	3:15:11
93	Great Cat Saurus	🇯🇵	3:15:46
94	Honte	🇵🇱	3:15:58
95	Antosie	🇵🇱	3:16:21
