Rank	Name	Nationality	Time
127	LUBIMY DUŻE QBECZKI	PL	3:44:28
128	ONTSNAPPJE	NL	3:45:09
129	ZMĘCZENI ŻYCIEM	PL	3:46:23
130	KLUSKIIKROKIETY	PL	3:46:58
131	NINJA	JP	3:47:52
132	FLEGMATYCZNE FOCZKI	PL	3:51:55
133	DRUŻYNA SUCHARA	PL	3:52:34
134	TRZEJ MUSZKIETEROWIE	PL	3:52:39
135	O JEDEN POKÓJ ZA DALEKO	PL	3:54:35
136	FANI PICIA MONSTERKA ZE SZKLANKI	PL	3:55:33
137	BUŁKU MNIE ODDAJ!	PL	3:56:00
138	SHIBUMAC	JP	3:56:19
139	PAMPASOWIEC TEAM	PL	3:59:13
140	KŁÓDKATECHNICZNA	PL	4:00:07
141	PIĘKNE UMYSŁY	PL	4:00:15
142	CEBULIONY I BADZIĄG FILOZOFICZNY	PL	4:00:26
143	ZESPÓŁ PLEH	PL	4:00:42
144	THE ULTIMATE CHOCOLATE SURPRISE	USA	4:01:07
145	CBZ	PL	4:01:12
146	PULCKI	PL	4:01:38
147	DREAM TEAM UA	PL	4:01:40
148	ZAGADKOWI KONESERZY	PL	4:03:44
149	TTOAS	GB	4:06:42
150	NIEUPORZĄDKOWYWANY STOS	PL	4:07:28
151	DIABELSKIE YELONKI	PL	4:11:04
152	KONDOMINIUM	PL	4:11:09
153	DRINKTEAM	PL	4:11:13
154	PIERWIASTEK ESTYMATORA NIEOBCIĄŻONEGO WARIANCJI	PL	4:11:50
155	T-BONE	PL	4:13:39
156	KOTKI PSOTKI	PL	4:13:57
157	TFMLS	PL	4:15:03
158	HDR	JP	4:17:34
159	KREPLE	PL	4:19:22
160	POTĘŻNE MYSZOKIEŁBASKI	PL	4:20:06
161	KAMAN	PL	4:20:19
162	TVINKI	PL	4:22:42
163	POLEGLIJUŻNATUTORIALU	PL	4:23:17
164	JEDYNYM HRABONSZCZEM TUTAJ JESTEM JA!	PL	4:23:54
165	FOR HELVEDE	DK	4:26:20
166	THE ROSETTA STONES	PL	4:26:58
167	THE MACGYVER, THE RED AND THE WHOVIAN	PL	4:28:01
168	MATTEAM	PL	4:29:10
169	BETA	PL	4:31:07
170	3,50	PL	4:31:10
171	AUDYT	PL	4:31:18
172	WYCIECZKOWICZE	PL	4:32:08
173	NAJLEPSZY JEST WIATR	PL	4:32:24
174	PIEKIELNIE ZMROŻENI	PL	4:32:42
175	DROP DATABASE;	PL	4:33:02
176	WYJDZMY JUZ	PL	4:33:32
177	FIBRE-NET	PL	4:35:57
178	ESCAPE KRAKÓW	PL	4:36:13
179	MPPA CHILL	PL	4:37:48
180	COW + CO.	AU	4:40:08
181	ESCAPEHOLICY	PL	4:40:25
182	ANGELES ESCAPE ROOM	PL	4:41:42
183	DALEKO JESZCZE?	PL	4:42:44
184	WARSZAWSKIE SZCZURY	PL	4:49:06
185	POCOCINOS	PL	4:49:37
186	DRUŻYNA BEZ PIERŚCIENIA	PL	4:50:41
187	MOKRE SKARPETKI	PL	4:50:52
188	GRAVE WALKERS	PL	4:51:13
189	THE BAREFOOT BEAN TRADERS	SWE	4:54:38
190	LODŻIKAL	PL	4:55:35
191	LOS KOTITOS	PL	4:55:51
192	KOBI TEAM	PL	4:56:10
193	SZYSZKI SZCZEPANA	PL	4:57:26
194	REVELIO	PL	4:59:52
